artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,17 September 2011,Nashville,United States,Bridgestone Arena,Needtobreathe,1841134,Speak Now World Tour,28178,28178,TS Kaggle,TRUE
Taylor Swift,20 September 2011,Bossier City,United States,CenturyLink Center,Needtobreathe,728546,Speak Now World Tour,11510,11510,TS Kaggle,TRUE
Taylor Swift,21 September 2011,Tulsa,United States,BOK Center,Needtobreathe,907573,Speak Now World Tour,12546,12546,TS Kaggle,TRUE
Taylor Swift,24 September 2011,Kansas City,United States,Arrowhead Stadium,Needtobreathe,3148046,Speak Now World Tour,48562,48562,TS Kaggle,TRUE
Taylor Swift,27 September 2011,Denver,United States,Pepsi Center,Needtobreathe,834916,Speak Now World Tour,12908,12908,TS Kaggle,TRUE
Taylor Swift,28 September 2011,Salt Lake City,United States,EnergySolutions Arena,Needtobreathe,896946,Speak Now World Tour,13720,13720,TS Kaggle,TRUE
Taylor Swift,01 October 2011,Atlanta,United States,Philips Arena,Needtobreathe,1726661,Speak Now World Tour,26244,26244,TS Kaggle,TRUE
Taylor Swift,02 October 2011,Atlanta,United States,Philips Arena,Needtobreathe,1726661,Speak Now World Tour,26244,26244,TS Kaggle,TRUE
Taylor Swift,04 October 2011,North Little Rock,United States,Verizon Arena,Needtobreathe,856123,Speak Now World Tour,13566,13566,TS Kaggle,TRUE
Taylor Swift,05 October 2011,New Orleans,United States,New Orleans Arena,Needtobreathe,830289,Speak Now World Tour,12943,12943,TS Kaggle,TRUE
Taylor Swift,08 October 2011,Arlington,United States,Cowboys Stadium,Needtobreathe,4337062,Speak Now World Tour,55451,55451,TS Kaggle,TRUE
Taylor Swift,11 October 2011,Louisville,United States,KFC Yum! Center,Needtobreathe,1003828,Speak Now World Tour,14848,14848,TS Kaggle,TRUE
Taylor Swift,14 October 2011,Lubbock,United States,United Spirit Arena,Needtobreathe,710426,Speak Now World Tour,10419,10419,TS Kaggle,TRUE
Taylor Swift,15 October 2011,Oklahoma City,United States,Chesapeake Energy Arena,Needtobreathe,758364,Speak Now World Tour,11592,11592,TS Kaggle,TRUE
Taylor Swift,20 October 2011,San Diego,United States,Valley View Casino Center,Needtobreathe,792634,Speak Now World Tour,10834,10834,TS Kaggle,TRUE
Taylor Swift,21 October 2011,Glendale,United States,Jobing.com Arena,Needtobreathe,1826025,Speak Now World Tour,27029,27029,TS Kaggle,TRUE
Taylor Swift,22 October 2011,Glendale,United States,Jobing.com Arena,Needtobreathe,1826025,Speak Now World Tour,27029,27029,TS Kaggle,TRUE
Taylor Swift,25 October 2011,San Antonio,United States,AT&T Center,Needtobreathe,901535,Speak Now World Tour,13851,13851,TS Kaggle,TRUE
Taylor Swift,26 October 2011,Austin,United States,Frank Erwin Center,Needtobreathe,752078,Speak Now World Tour,11999,11999,TS Kaggle,TRUE
Taylor Swift,29 October 2011,Lexington,United States,Rupp Arena,Needtobreathe,1041935,Speak Now World Tour,16237,16237,TS Kaggle,TRUE
Taylor Swift,30 October 2011,Memphis,United States,FedExForum,Needtobreathe,820036,Speak Now World Tour,12604,12604,TS Kaggle,TRUE
Taylor Swift,05 November 2011,Houston,United States,Minute Maid Park,Needtobreathe,3435756,Speak Now World Tour,42095,42095,TS Kaggle,TRUE
Taylor Swift,11 November 2011,Jacksonville,United States,Jacksonville Veterans Memorial Arena,Needtobreathe,749099,Speak Now World Tour,11785,11785,TS Kaggle,TRUE
Taylor Swift,12 November 2011,Tampa,United States,St. Pete Times Forum,Needtobreathe,914300,Speak Now World Tour,13695,13695,TS Kaggle,TRUE
Taylor Swift,13 November 2011,Miami,United States,American Airlines Arena,Needtobreathe,786904,Speak Now World Tour,12153,12153,TS Kaggle,TRUE
Taylor Swift,16 November 2011,Charlotte,United States,Time Warner Cable Arena,Needtobreathe,920903,Speak Now World Tour,14272,14272,TS Kaggle,TRUE
Taylor Swift,17 November 2011,Raleigh,United States,RBC Center,Needtobreathe,866056,Speak Now World Tour,13567,13567,TS Kaggle,TRUE
Taylor Swift,18 November 2011,Columbia,United States,Colonial Life Arena,Needtobreathe,828231,Speak Now World Tour,12807,12807,TS Kaggle,TRUE
Taylor Swift,21 November 2011,New York,United States,Madison Square Garden,Needtobreathe,1988411,Speak Now World Tour,26652,26652,TS Kaggle,TRUE
Taylor Swift,22 November 2011,New York,United States,Madison Square Garden,Needtobreathe,1988411,Speak Now World Tour,26652,26652,TS Kaggle,TRUE
Taylor Swift,02 April 2012,Perth,Australia,Burswood Dome,Hot Chelle Rae,1878530,Speak Now World Tour,15142,15142,TS Kaggle,TRUE
Taylor Swift,04 April 2012,Adelaide,Australia,Adelaide Entertainment Centre,Hot Chelle Rae,1075370,Speak Now World Tour,8589,8589,TS Kaggle,TRUE
Taylor Swift,06 April 2012,Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,2416030,Speak Now World Tour,19870,19870,TS Kaggle,TRUE
Taylor Swift,07 April 2012,Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,2416030,Speak Now World Tour,19870,19870,TS Kaggle,TRUE
Taylor Swift,09 April 2012,Sydney,Australia,Allphones Arena,Hot Chelle Rae,3420360,Speak Now World Tour,27900,27900,TS Kaggle,TRUE
Taylor Swift,10 April 2012,Sydney,Australia,Allphones Arena,Hot Chelle Rae,3420360,Speak Now World Tour,27900,27900,TS Kaggle,TRUE
Taylor Swift,12 April 2012,Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,4151650,Speak Now World Tour,33793,33793,TS Kaggle,TRUE
Taylor Swift,13 April 2012,Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,4151650,Speak Now World Tour,33793,33793,TS Kaggle,TRUE
Taylor Swift,14 April 2012,Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,4151650,Speak Now World Tour,33793,33793,TS Kaggle,TRUE
Taylor Swift,16 April 2012,Auckland,New Zealand,Vector Arena,Hot Chelle Rae,2888560,Speak Now World Tour,32585,32585,TS Kaggle,TRUE
Taylor Swift,17 April 2012,Auckland,New Zealand,Vector Arena,Hot Chelle Rae,2888560,Speak Now World Tour,32585,32585,TS Kaggle,TRUE
Taylor Swift,18 April 2012,Auckland,New Zealand,Vector Arena,Hot Chelle Rae,2888560,Speak Now World Tour,32585,32585,TS Kaggle,TRUE
Taylor Swift,13 March 2013,Omaha,United States,CenturyLink Center Omaha,Ed Sheeran Brett Eldredge,2243164,The Red Tour,27877,27877,TS Kaggle,TRUE
