city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,2416030.0,Speak Now World Tour,19870,19870,06/04/2012
Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,2416030.0,Speak Now World Tour,19870,19870,07/04/2012
Sydney,Australia,Allphones Arena,Hot Chelle Rae,3420360.0,Speak Now World Tour,27900,27900,09/04/2012
Sydney,Australia,Allphones Arena,Hot Chelle Rae,3420360.0,Speak Now World Tour,27900,27900,10/04/2012
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,4151650.0,Speak Now World Tour,33793,33793,12/04/2012
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,4151650.0,Speak Now World Tour,33793,33793,13/04/2012
Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,4151650.0,Speak Now World Tour,33793,33793,14/04/2012
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,2888560.0,Speak Now World Tour,32585,32585,16/04/2012
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,2888560.0,Speak Now World Tour,32585,32585,17/04/2012
Auckland,New Zealand,Vector Arena,Hot Chelle Rae,2888560.0,Speak Now World Tour,32585,32585,18/04/2012
Omaha,United States,CenturyLink Center Omaha,Ed Sheeran Brett Eldredge,2243164.0,The Red Tour,27877,27877,13/03/2013
Omaha,United States,CenturyLink Center Omaha,Ed Sheeran Brett Eldredge,2243164.0,The Red Tour,27877,27877,14/03/2013
St. Louis,United States,Scottrade Center,Ed Sheeran Brett Eldredge,2346203.0,The Red Tour,28582,28582,18/03/2013
St. Louis,United States,Scottrade Center,Ed Sheeran Brett Eldredge,2346203.0,The Red Tour,28582,28582,19/03/2013
Charlotte,United States,Time Warner Cable Arena,Ed Sheeran Brett Eldredge,1162733.0,The Red Tour,14686,14686,22/03/2013
Columbia,United States,Colonial Life Arena,Ed Sheeran Brett Eldredge,996114.0,The Red Tour,12490,12490,23/03/2013
Newark,United States,Prudential Center,Ed Sheeran Florida Georgia Line,3565317.0,The Red Tour,38065,38065,27/03/2013
Newark,United States,Prudential Center,Ed Sheeran Florida Georgia Line,3565317.0,The Red Tour,38065,38065,28/03/2013
Newark,United States,Prudential Center,Ed Sheeran Florida Georgia Line,3565317.0,The Red Tour,38065,38065,29/03/2013
Miami,United States,American Airlines Arena,Ed Sheeran Brett Eldredge,1010175.0,The Red Tour,12808,12808,10/04/2013
Orlando,United States,Amway Center,Ed Sheeran Brett Eldredge,2054128.0,The Red Tour,25617,25617,11/04/2013
Orlando,United States,Amway Center,Ed Sheeran Brett Eldredge,2054128.0,The Red Tour,25617,25617,12/04/2013
Atlanta,United States,Philips Arena,Ed Sheeran Brett Eldredge,2048023.0,The Red Tour,25471,25471,18/04/2013
Atlanta,United States,Philips Arena,Ed Sheeran Brett Eldredge,2048023.0,The Red Tour,25471,25471,19/04/2013
Tampa,United States,Tampa Bay Times Forum,Ed Sheeran Brett Eldredge,1132095.0,The Red Tour,14080,14080,20/04/2013
Cleveland,United States,Quicken Loans Arena,Ed Sheeran Brett Eldredge,1247605.0,The Red Tour,15336,15336,25/04/2013
Indianapolis,United States,Bankers Life Fieldhouse,Ed Sheeran Brett Eldredge,1082042.0,The Red Tour,13573,13573,26/04/2013
Lexington,United States,Rupp Arena,Ed Sheeran Brett Eldredge,1342699.0,The Red Tour,17003,17003,27/04/2013
Detroit,United States,Ford Field,Ed Sheeran Austin Mahone Brett Eldredge,3969059.0,The Red Tour,48265,48265,04/05/2013
Louisville,United States,KFC Yum! Center,Ed Sheeran Florida Georgia Line,1246491.0,The Red Tour,15135,15135,07/05/2013
Columbus,United States,Nationwide Arena,Ed Sheeran Florida Georgia Line,1155170.0,The Red Tour,14267,14267,08/05/2013
Washington,United States,Verizon Center,Ed Sheeran Brett Eldredge,2489205.0,The Red Tour,27619,27619,11/05/2013
Washington,United States,Verizon Center,Ed Sheeran Brett Eldredge,2489205.0,The Red Tour,27619,27619,12/05/2013
Houston,United States,Toyota Center,Ed Sheeran Brett Eldredge,961422.0,The Red Tour,12467,12467,16/05/2013
Austin,United States,Frank Erwin Center,Ed Sheeran Florida Georgia Line,935631.0,The Red Tour,11916,11916,21/05/2013
San Antonio,United States,AT&T Center,Ed Sheeran Florida Georgia Line,1105253.0,The Red Tour,13974,13974,22/05/2013
Arlington,United States,Cowboys Stadium,Ed Sheeran Austin Mahone Florida Georgia Line,4589266.0,The Red Tour,53020,53020,25/05/2013
Glendale,United States,Jobing.com Arena,Ed Sheeran Joel Crouse,2239370.0,The Red Tour,26705,26705,28/05/2013
Glendale,United States,Jobing.com Arena,Ed Sheeran Joel Crouse,2239370.0,The Red Tour,26705,26705,29/05/2013
Salt Lake City,United States,EnergySolutions Arena,Ed Sheeran Joel Crouse,1139360.0,The Red Tour,14007,14007,01/06/2013
Denver,United States,Pepsi Center,Ed Sheeran Joel Crouse,1076069.0,The Red Tour,13489,13489,02/06/2013
Toronto,Canada,Rogers Centre,Ed Sheeran Austin Mahone Joel Crouse,7863310.0,The Red Tour,87627,87627,14/06/2013
Toronto,Canada,Rogers Centre,Ed Sheeran Austin Mahone Joel Crouse,7863310.0,The Red Tour,87627,87627,15/06/2013
Winnipeg,Canada,Investors Group Field,Ed Sheeran Austin Mahone Joel Crouse,3175430.0,The Red Tour,33061,33061,22/06/2013
Edmonton,Canada,Rexall Place,Ed Sheeran Joel Crouse,2379870.0,The Red Tour,25663,25663,25/06/2013
Edmonton,Canada,Rexall Place,Ed Sheeran Joel Crouse,2379870.0,The Red Tour,25663,25663,26/06/2013
Vancouver,Canada,BC Place Stadium,Ed Sheeran Austin Mahone Joel Crouse,3974410.0,The Red Tour,41142,41142,29/06/2013
Pittsburgh,United States,Heinz Field,Ed Sheeran Austin Mahone Joel Crouse,4718518.0,The Red Tour,56047,56047,06/07/2013
East Rutherford,United States,MetLife Stadium,Ed Sheeran Austin Mahone Joel Crouse,4670011.0,The Red Tour,52399,52399,13/07/2013
Philadelphia,United States,Lincoln Financial Field,Ed Sheeran Austin Mahone Joel Crouse,8822335.0,The Red Tour,101277,101277,19/07/2013
Philadelphia,United States,Lincoln Financial Field,Ed Sheeran Austin Mahone Joel Crouse,8822335.0,The Red Tour,101277,101277,20/07/2013
Foxborough,United States,Gillette Stadium,Ed Sheeran Austin Mahone Joel Crouse,9464063.0,The Red Tour,110712,110712,26/07/2013
Foxborough,United States,Gillette Stadium,Ed Sheeran Austin Mahone Joel Crouse,9464063.0,The Red Tour,110712,110712,27/07/2013
Des Moines,United States,Wells Fargo Arena,Ed Sheeran Florida Georgia Line,1075576.0,The Red Tour,13368,13368,01/08/2013
Kansas City,United States,Sprint Center,Ed Sheeran Florida Georgia Line,2093172.0,The Red Tour,26412,26412,02/08/2013
Kansas City,United States,Sprint Center,Ed Sheeran Florida Georgia Line,2093172.0,The Red Tour,26412,26412,03/08/2013
Wichita,United States,Intrust Bank Arena,Ed Sheeran Casey James,983882.0,The Red Tour,12231,12231,06/08/2013
Tulsa,United States,BOK Center,Ed Sheeran Casey James,868955.0,The Red Tour,10949,10949,07/08/2013
Chicago,United States,Soldier Field,Ed Sheeran Austin Mahone Casey James,4149148.0,The Red Tour,50809,50809,10/08/2013
San Diego,United States,Valley View Casino Center,Ed Sheeran Casey James,948541.0,The Red Tour,10872,10872,15/08/2013
Los Angeles,United States,Staples Center,Ed Sheeran Casey James,4734463.0,The Red Tour,55829,55829,19/08/2013
Los Angeles,United States,Staples Center,Ed Sheeran Casey James,4734463.0,The Red Tour,55829,55829,20/08/2013
Los Angeles,United States,Staples Center,Ed Sheeran Casey James,4734463.0,The Red Tour,55829,55829,23/08/2013
Los Angeles,United States,Staples Center,Ed Sheeran Casey James,4734463.0,The Red Tour,55829,55829,24/08/2013
Sacramento,United States,Sleep Train Arena,Ed Sheeran Casey James,1138103.0,The Red Tour,12795,12795,27/08/2013
Portland,United States,Moda Center,Ed Sheeran Casey James,1084760.0,The Red Tour,13952,13952,30/08/2013
